index,date,datetime,cash_type,card,money,z_score,year,month,day,day_of_week,log_money,coffee_name_Americano,coffee_name_Americano with Milk,coffee_name_Cappuccino,coffee_name_Cocoa,coffee_name_Cortado,coffee_name_Espresso,coffee_name_Hot Chocolate,coffee_name_Latte,recency,frequency,monetary,card,total_spent,avg_spent,purchase_count,first_purchase,last_purchase,favorite_coffee,cluster
0,2024-03-01,2024-03-01 10:15:50.520,card,ANON-0000-0000-0001,38.7,1.1114710116149968,2024,3,1,4,3.681351187693145,False,False,False,False,False,False,False,True,191,17,646.14,ANON-0000-0000-0001,646.14,38.00823529411765,17.0,2024-03-01 10:15:50.520,2024-06-06 10:36:09.667,Latte,2.0
1,2024-03-01,2024-03-01 12:19:22.539,card,ANON-0000-0000-0002,38.7,1.1114710116149968,2024,3,1,4,3.681351187693145,False,False,False,False,False,False,True,False,191,2,77.4,ANON-0000-0000-0002,77.4,38.7,2.0,2024-03-01 12:19:22.539,2024-03-01 12:20:18.089,Hot Chocolate,0.0
2,2024-03-01,2024-03-01 12:20:18.089,card,ANON-0000-0000-0002,38.7,1.1114710116149968,2024,3,1,4,3.681351187693145,False,False,False,False,False,False,True,False,191,2,77.4,ANON-0000-0000-0003,651.96,28.34608695652174,23.0,2024-03-01 13:46:33.006,2024-07-29 09:19:44.082,Americano,2.0
3,2024-03-01,2024-03-01 13:46:33.006,card,ANON-0000-0000-0003,28.9,-0.8356225304782041,2024,3,1,4,3.3978584803966405,True,False,False,False,False,False,False,False,191,23,651.96,ANON-0000-0000-0004,289.5,32.166666666666664,9.0,2024-03-01 13:48:14.626,2024-04-15 17:02:49.748,Americano,2.0
4,2024-03-01,2024-03-01 13:48:14.626,card,ANON-0000-0000-0004,38.7,1.1114710116149968,2024,3,1,4,3.681351187693145,False,False,False,False,False,False,False,True,191,9,289.5,ANON-0000-0000-0005,33.8,33.8,1.0,2024-03-01 15:39:47.726,2024-03-01 15:39:47.726,Americano with Milk,0.0
5,2024-03-01,2024-03-01 15:39:47.726,card,ANON-0000-0000-0005,33.8,0.13792424056839564,2024,3,1,4,3.5496173867804286,False,True,False,False,False,False,False,False,191,1,33.8,ANON-0000-0000-0006,38.7,38.7,1.0,2024-03-01 16:19:02.756,2024-03-01 16:19:02.756,Hot Chocolate,0.0
6,2024-03-01,2024-03-01 16:19:02.756,card,ANON-0000-0000-0006,38.7,1.1114710116149968,2024,3,1,4,3.681351187693145,False,False,False,False,False,False,True,False,191,1,38.7,ANON-0000-0000-0007,33.8,33.8,1.0,2024-03-01 18:39:03.580,2024-03-01 18:39:03.580,Americano with Milk,0.0
7,2024-03-01,2024-03-01 18:39:03.580,card,ANON-0000-0000-0007,33.8,0.13792424056839564,2024,3,1,4,3.5496173867804286,False,True,False,False,False,False,False,False,191,1,33.8,ANON-0000-0000-0008,72.5,36.25,2.0,2024-03-01 19:22:01.762,2024-03-01 19:23:15.887,Americano with Milk,0.0
8,2024-03-01,2024-03-01 19:22:01.762,card,ANON-0000-0000-0008,38.7,1.1114710116149968,2024,3,1,4,3.681351187693145,False,False,False,True,False,False,False,False,191,2,72.5,ANON-0000-0000-0009,2212.7,35.12222222222222,63.0,2024-03-01 19:29:17.391,2024-07-31 19:28:45.141,Latte,1.0
9,2024-03-01,2024-03-01 19:23:15.887,card,ANON-0000-0000-0008,33.8,0.13792424056839564,2024,3,1,4,3.5496173867804286,False,True,False,False,False,False,False,False,191,2,72.5,ANON-0000-0000-0010,28.9,28.9,1.0,2024-03-02 10:22:06.957,2024-03-02 10:22:06.957,Americano,0.0
10,2024-03-01,2024-03-01 19:29:17.391,card,ANON-0000-0000-0009,33.8,0.13792424056839564,2024,3,1,4,3.5496173867804286,False,True,False,False,False,False,False,False,191,63,2212.7,ANON-0000-0000-0011,33.8,33.8,1.0,2024-03-02 10:41:41.249,2024-03-02 10:41:41.249,Americano with Milk,0.0
11,2024-03-02,2024-03-02 10:22:06.957,card,ANON-0000-0000-0010,28.9,-0.8356225304782041,2024,3,2,5,3.3978584803966405,True,False,False,False,False,False,False,False,190,1,28.9,ANON-0000-0000-0012,2593.18,29.467954545454543,88.0,2024-03-02 11:59:45.484,2024-07-29 09:04:47.972,Americano,1.0
